,Palavra,Frequência
410,base,117
411,realização,117
412,intradia,117
413,us,116
414,demanda,116
415,barril,116
416,contudo,116
417,quarto,116
418,petrolífera,116
419,trimestral,115
420,doméstico,115
421,mostrou,114
422,outros,114
423,lojas,114
424,emergentes,114
425,projeto,114
426,manter,113
427,fôlego,113
428,dado,113
429,pesquisa,112
430,escreveram,112
431,fabricante,112
432,tarifas,112
433,próximo,111
434,disputa,111
435,operadores,111
436,jornal,111
437,recentes,111
438,índices,110
439,casa,110
440,br,110
441,acréscimo,110
442,europa,109
443,novas,109
444,vermelho,109
445,avançaram,109
446,receita,109
447,estado,109
448,mundo,109
449,seguem,108
450,otimismo,108
451,pouco,108
452,média,108
453,espaço,108
454,união,108
455,curto,108
456,razão,108
457,moeda,107
458,operava,107
459,noite,107
460,leilão,107
461,quatro,106
462,dezembro,106
463,gestor,106
464,relevante,106
465,negociados,105
466,ajustes,105
467,potencial,105
468,siderúrgicas,104
469,ritmo,104
470,ficou,104
471,senado,104
472,cielo,104
473,justiça,104
474,companhias,104
475,rodrigo,104
476,ganho,104
477,nível,103
478,inflação,103
479,ambiente,103
480,partir,103
481,acionistas,103
482,balanços,103
483,sob,102
484,revertendo,101
485,veio,101
486,lado,101
487,caso,101
488,efeito,101
489,negativos,100
490,abril,100
491,grande,100
492,plano,100
493,disso,100
494,centro,100
495,neutra,100
496,atividade,100
497,positivas,100
498,guerra,100
499,braskem,99
500,vencimento,99
501,agora,99
502,aquisição,99
503,receios,99
504,perspectivas,99
505,ebitda,99
506,medidas,98
507,manutenção,98
508,liquidez,98
509,entanto,98
510,cessão,98
511,divulgou,97
512,mostrava,97
513,brent,96
514,incluindo,96
515,quadro,96
516,desaceleração,95
517,entrega,95
518,levando,95
519,bancário,95
520,monetária,95
521,texto,95
522,geral,95
523,profissionais,95
524,preferenciais,94
525,kroton,94
526,novidades,94
527,alguns,94
528,distribuidora,94
529,deste,94
530,atenções,93
531,negociadas,93
532,hoje,93
533,crédito,93
534,trabalho,93
535,seguido,93
536,fechar,93
537,subiam,93
538,aprovar,93
539,foco,93
540,minas,92
541,produtos,92
542,xp,92
543,onerosa,92
544,volta,91
545,países,91
546,recuaram,91
547,caixa,91
548,expresidente,91
549,perto,91
550,máximas,91
551,quanto,91
552,torno,91
553,último,90
554,segmento,90
555,petroleira,89
556,dow,89
557,investimento,89
558,cena,89
559,envolvendo,89
560,programa,89
561,valorizavase,89
562,ordinárias,88
563,março,88
564,elevou,88
565,vem,87
566,setores,87
567,cotação,87
568,algum,87
569,impacto,87
570,boeing,87
571,semanas,86
572,contramão,86
573,novos,85
574,consumo,85
575,fevereiro,85
576,americanas,85
577,maia,85
578,morgan,85
579,alterações,84
580,seis,84
581,futuro,84
582,reduzir,84
583,brasileiras,84
584,pedido,84
585,ponto,84
586,agência,83
587,pública,83
588,pressionado,83
589,fiscal,83
590,devem,83
591,histórica,83
592,encerramento,82
593,cinco,82
594,retomada,82
595,fluxo,82
596,pesando,82
597,fed,81
598,operacional,81
599,humor,81
600,eventual,81
601,líquida,81
602,cemig,80
603,fraco,80
604,novamente,80
605,negociado,80
606,dívida,80
607,luiz,80
608,novembro,80
609,reportar,80
610,coinvalores,80
611,cair,79
612,ouro,79
613,acrescentou,79
614,comércio,79
615,corporativo,79
616,andamento,79
617,guide,79
618,ajustado,79
619,faz,78
620,cada,78
621,rumo,78
622,agosto,78
623,supremo,78
624,fecha,78
625,estrangeiros,78
626,opera,77
627,diminuiu,77
628,revisão,77
629,stf,77
630,comentários,77
631,relacionadas,77
632,direção,76
633,possível,76
634,comparação,76
635,saída,76
636,jones,76
637,têm,76
638,movimentos,76
639,diária,75
640,cai,75
641,estabilidade,75
642,pessoas,75
643,mudanças,75
644,outro,75
645,elevar,74
646,previsão,74
647,seguida,74
648,podem,74
649,etf,74
650,brazil,74
651,chinês,74
652,lula,74
653,internacionais,74
654,carteira,74
655,rio,74
656,forma,74
657,encontro,74
658,sessões,74
659,suporte,74
660,diferença,73
661,grandes,73
662,prejuízo,73
663,sinais,73
664,plenário,73
665,reagindo,73
666,saltou,73
667,desdobramentos,73
668,sa,72
669,par,72
670,sido,72
671,bb,72
672,recua,72
673,estácio,72
674,previsto,72
675,ministério,72
676,rede,72
677,outperform,72
678,temporada,72
679,mudança,72
680,gráfico,72
681,superior,71
682,acumula,71
683,acumulando,71
684,apostas,71
685,pagamento,71
686,planos,71
687,aversão,71
688,terminando,70
689,dada,70
690,silva,70
691,alívio,70
692,marcado,70
693,eleições,70
694,avançar,70
695,atentos,70
696,executivos,69
697,fatia,69
698,terminaram,69
699,superaram,69
700,corresponde,69
701,onça,69
702,aumentou,69
703,ficar,69
704,olho,69
705,prevista,69
706,continua,69
707,caminhoneiros,69
708,adicionaram,68
709,mede,68
710,avalia,68
711,especial,68
712,expansão,68
713,nysems,68
714,stanley,68
715,voltou,67
716,poderia,67
717,café,67
718,gerais,67
719,vender,67
720,distribuição,67
721,ubs,67
722,distribuidoras,67
723,custos,67
724,total,67
725,desses,67
726,declarações,67
727,regras,67
728,volátil,66
729,mrv,66
730,mineradoras,66
731,análise,66
732,algumas,66
733,comprar,66
734,bom,66
735,inácio,66
736,bastante,66
737,front,66
738,acionários,66
739,sabesp,65
740,petroleo,65
741,igual,65
742,pagamentos,65
743,efeitos,65
744,encerrar,65
745,reportagem,65
746,entrada,65
747,estimativas,65
748,aérea,65
749,demrj,65
750,globais,64
751,implícita,64
752,usdbrl,64
753,volatility,64
754,troy,64
755,cboe,64
756,eurbrl,64
757,interno,64
758,pressões,64
759,gás,64
760,mostraram,64
761,sócio,64
762,praticamente,64
763,apoio,64
764,lei,64
765,defesa,64
766,baixas,63
767,klabin,63
768,presidência,63
769,econômicos,63
770,corporativos,63
771,denúncia,63
772,ontem,62
773,controladora,62
774,commodity,62
775,divulgado,62
776,sinal,62
777,pedro,62
778,alimentos,62
779,carne,62
780,mostrando,62
781,flutuações,62
