,0.0,0.5,1.0,1.5,2.0
0,"[0.601331640569756, 0.6799833601184849, 0.6803994689243712, 0.6824802524885732, 0.6799833399526188, 0.6928838498881098, 0.6916354524062367, 0.7086974320637897, 0.707865150754669, 0.7124428116575758, 0.7037037165275078, 0.7203495706362968, 0.7145235289199819, 0.714523505554366, 0.7182688374495536, 0.7307532550987977, 0.7191011275393835, 0.7253433381127061, 0.7303370863162028, 0.7353308457560307, 0.7270079152414415, 0.724927196639605, 0.734498566604881, 0.7449021977878242, 0.747399127141069, 0.7357469909497713, 0.7415730427862256, 0.7424053260300788, 0.7507282702366214, 0.7453183760208435, 0.7415730563293533, 0.7444860414321651, 0.7640449788686487, 0.767790286133203, 0.7594673596369045, 0.765709585464849, 0.7852684185001882, 0.7702871572212333, 0.7910944809032587, 0.7873491732666407, 0.8023304522558395, 0.7981689786643125, 0.7973366876815291, 0.8031627392203322, 0.8085726479466042, 0.8039950273754296, 0.8173116807187542, 0.8198085949662026, 0.8139825554078587, 0.811069532354524, 0.823970050401009, 0.836454462766945, 0.8302122684156106, 0.8372867568750655, 0.8364544521259161, 0.8368705924828252, 0.8493549771672033, 0.8385351717695315, 0.8439451117491752, 0.8451935285039609, 0.8485226818684781, 0.8626716888501552, 0.8472742887769596, 0.8764045144734758, 0.8472742495614194, 0.8618394126011042, 0.8501873116814689, 0.8610070778636004, 0.8626716654101263, 0.8718268928605222, 0.882230552543564, 0.8684977377100979, 0.8834790217593665, 0.889305065410414, 0.8747399226854208, 0.8838951322023342, 0.8660008630502537, 0.8834790139460236, 0.8955472599849867, 0.8730753406454412, 0.8913858016480816, 0.8884727390815554, 0.885143590702695, 0.8951310899373743, 0.889305051941699, 0.8805659880650029, 0.887640460153644, 0.8913857839378376, 0.8980441120977557, 0.9096962110082457, 0.8967956763677085, 0.9013733102587725, 0.898876412307725, 0.9009571281562881, 0.8972118410576, 0.8926342464564891, 0.8997087020999037, 0.895131110252066, 0.8959633881381984, 0.9105285254310579]",,,,
1,,"[0.6279650282175204, 0.6620889763707078, 0.6633374431308885, 0.6716603708922044, 0.6716603454430303, 0.6737410731232271, 0.6741572513562463, 0.6737410937355699, 0.6812317300676257, 0.6883062270101388, 0.6949645705735044, 0.6887223956439081, 0.6949645640251788, 0.6924676851238055, 0.7032875234863434, 0.7037036500768864, 0.6920515775829368, 0.7024552497673273, 0.7116104305609038, 0.7145234972945462, 0.7170203383942222, 0.715771904450082, 0.7195172539811009, 0.7207656754238924, 0.7374115598186869, 0.7374115284909023, 0.7490636375959446, 0.7374115734362274, 0.7544735640324606, 0.7519766577471806, 0.7515605639726779, 0.7619642116008477, 0.7657095216186752, 0.7715355458479844, 0.7815230307209953, 0.7665417827619297, 0.7727839800897758, 0.7869329965962899, 0.7815230752942565, 0.8052434088585528, 0.797336654791076, 0.7919267476274726, 0.7898460426431768, 0.7935913692550564, 0.8160632440957535, 0.8031627023860012, 0.809821018267809, 0.8002496701798933, 0.8048272629206844, 0.8281314588069321, 0.8227215570010497, 0.8243861595045464, 0.8339575541004557, 0.813982508155737, 0.8372867037443334, 0.8260507745093918, 0.8281315025616526, 0.8343736945317777, 0.8451935038733274, 0.8347898521524542, 0.8431127162908347, 0.8468580685007141, 0.8381190125861865, 0.8497711036833335, 0.8489388056313352, 0.8456096386492773, 0.8497710752576478, 0.8626716451698475, 0.8693300099408582, 0.8489388220765618, 0.8597586357340533, 0.869746133778128, 0.8660008237603005, 0.8747399008824733, 0.8610070342577054, 0.8701622723491302, 0.8722430206416698, 0.8726591580220674, 0.8734914561484786, 0.8714106995961193, 0.8697461104125119, 0.8897211705700735, 0.8697461488839243, 0.8793175187747875, 0.8755722071198786, 0.8759883215067241, 0.8880565743916639, 0.8951310682088397, 0.87848523701919, 0.890969616792324, 0.8751560603634695, 0.891801909337776, 0.897211771630467, 0.885143548585056, 0.8984602126438221, 0.8967956723494178, 0.9013732627089996, 0.8997086508294914, 0.8901373484310289, 0.8918019185649619]",,,
2,,,"[0.631710331835848, 0.6654181303305274, 0.6650019901968567, 0.6662504364191072, 0.6679150239656332, 0.6712441874502899, 0.6695796051126592, 0.6741572160101711, 0.6720765110258753, 0.6758218377121676, 0.6787348785501592, 0.6820640334029323, 0.6824801572402021, 0.6828963303387389, 0.6953807113024775, 0.6883062242568655, 0.6991260185670317, 0.6949645681178823, 0.7053682468505983, 0.7111942714519714, 0.7145234579301804, 0.7191010835614247, 0.7161880836504676, 0.7249271327934312, 0.7195172554693567, 0.7290886008039992, 0.7411568563677994, 0.7369953911849175, 0.7286724661768748, 0.7440698726495703, 0.7444860357767932, 0.7399083899796828, 0.749063649501991, 0.7415729940458481, 0.7515605188785272, 0.7553058455648196, 0.7657094879096813, 0.7756970700402087, 0.7777777286653363, 0.7769454564345761, 0.7898460005255377, 0.7786100577474683, 0.7740324222937357, 0.7969204836272717, 0.7910944099134571, 0.8060757419589754, 0.7940074823768845, 0.8110694981990533, 0.8031627050648616, 0.8198085474164298, 0.8177278031421809, 0.8243861471520232, 0.8248023134789961, 0.8310444997193364, 0.8243861500541221, 0.8193923910607708, 0.8285476307148641, 0.8302122196752332, 0.8352059597677357, 0.8364543973581026, 0.8410320018561145, 0.8531002561548974, 0.8526841092496626, 0.8381189962897855, 0.8510195540727004, 0.8439450682921058, 0.8622554887397756, 0.8664169500531924, 0.8589263283804561, 0.8597586070851292, 0.8668330956934097, 0.8576778870694497, 0.860590936167261, 0.8813982290423914, 0.8705784153104871, 0.8689138166764554, 0.8643362287724956, 0.8780690468057115, 0.8768206070573737, 0.8863920003138529, 0.8755721961811985, 0.880982094043203, 0.8726591691095731, 0.8913857390669252, 0.8818143592791611, 0.8847273838207517, 0.885143548585056, 0.8809820765561974, 0.8967956329850519, 0.8901373186659128, 0.8909696068210102, 0.8913857337836172, 0.8838950912008869, 0.8992925159047159, 0.9001248109057899, 0.8913857771662738, 0.8984602371256301, 0.8926341935489954, 0.8884727253151893, 0.8909695894084173]",,
3,,,,"[0.6362879495049237, 0.66749886909823, 0.66749886909823, 0.6674988786230671, 0.6670827099148849, 0.6691634431760409, 0.6708280497722412, 0.6741572191355083, 0.6766541112079454, 0.6766540909676665, 0.6812317003025098, 0.6845608948172999, 0.689970803841223, 0.6878900619481834, 0.6916353655665108, 0.7032874917864949, 0.7016229503014859, 0.7032874972930413, 0.706200513649225, 0.712026561318563, 0.7161880470393749, 0.7240948295325376, 0.7278401573350218, 0.7265916960069749, 0.7249271490154195, 0.7349146293492502, 0.7349146539054708, 0.7494797721486562, 0.7453183040636756, 0.7494797871800397, 0.7494797804828887, 0.7532250756925709, 0.7557219705926941, 0.772367833184541, 0.7611318904064717, 0.7615480320283983, 0.7698709463209993, 0.7777777437711327, 0.776529294423545, 0.7682063816936127, 0.7856845272316617, 0.7898459842291367, 0.7923428524150682, 0.8056595379791307, 0.7969204660658533, 0.8102371528205204, 0.806075699915749, 0.8048272414898009, 0.8081564534171839, 0.8143986208310884, 0.8206408224004633, 0.816063226534335, 0.8189762290497398, 0.8202246755696414, 0.8248022837138801, 0.8293799133634151, 0.8285476223806317, 0.8352059650510438, 0.8397835433557537, 0.838951283328691, 0.8489388124773118, 0.8431127528275145, 0.832709115765961, 0.8447773376951802, 0.8539325321062972, 0.8660007774011323, 0.8539325407381808, 0.8647523541724339, 0.8526841418424647, 0.8589263173673632, 0.8610070315044323, 0.8626715923367666, 0.8626716206136268, 0.8660007908698474, 0.8734914288389847, 0.8751560181714175, 0.8813982140110078, 0.8751560234547257, 0.8734914235556765, 0.8789013390535123, 0.8851435553566198, 0.8876404072461503, 0.8739075703864985, 0.87973363948672, 0.8847274044330945, 0.8813982099183043, 0.8893049880211125, 0.8863919920540332, 0.8859758438837811, 0.8959633376863267, 0.8893049950903275, 0.8897211416979109, 0.8913857390669252, 0.8997086545501309, 0.8942987362990219, 0.89721182051967, 0.9013732559374358, 0.9005409553554026, 0.8980440939410349, 0.896379502450631]",
4,,,,,"[0.6317103969470392, 0.6650019997216938, 0.6699957709931553, 0.6795671655890647, 0.6795671234714256, 0.6824801846241088, 0.6891385073518932, 0.6858093517549922, 0.686641651444072, 0.6883062131693598, 0.6933000102620596, 0.6878900920853632, 0.6903869613874867, 0.6987099153421047, 0.7003744782579973, 0.7045359450779604, 0.7111942785211866, 0.7111942876739598, 0.7095297029551197, 0.7220140826538409, 0.7195172101519677, 0.727007859431849, 0.7278401692410682, 0.7349146511521977, 0.727424023972915, 0.7320016141836712, 0.7353307804960139, 0.744486010327619, 0.7461506006274181, 0.7494797352399124, 0.7490636268060901, 0.7432376102412982, 0.7657094861981871, 0.7615479884225034, 0.761964158395703, 0.782355320513174, 0.7723678251479598, 0.7694548017969739, 0.7831876253367364, 0.764461025316617, 0.7910944265075093, 0.7944235773419918, 0.8019142156087802, 0.8131501624051403, 0.7973366114828322, 0.797752781381619, 0.8143986344486289, 0.8089887380004673, 0.8139824878410453, 0.8277153119761101, 0.8102371652474564, 0.8202246725187171, 0.8177278224895063, 0.8248022929410661, 0.8256345919604308, 0.8385351570357991, 0.846441920330462, 0.8464418954765901, 0.8381190006057273, 0.8472742371344835, 0.8410320165898469, 0.8426965853099371, 0.8476903376805499, 0.855597101272864, 0.8514356522375576, 0.8510195377018865, 0.853516419728597, 0.8743237026324135, 0.8689138032077404, 0.8726591390468059, 0.868081525321608, 0.8705783962608128, 0.8772367430983411, 0.8847273731053099, 0.8664169460349017, 0.8780690436803744, 0.8776528833064248, 0.8813982138621822, 0.8751560289612721, 0.88431128580472, 0.8838950875546602, 0.8905534398243222, 0.8868080980322334, 0.888888832856058, 0.874739899915107, 0.8888888602399647, 0.8843112452497495, 0.8888888617282206, 0.8838950873314219, 0.9030378057566772, 0.8955472123608011, 0.8942987579531437, 0.893466450822785, 0.8905534425031826, 0.9005409443423096, 0.9030378453442816, 0.9034539883056384, 0.9017893905645602, 0.9047024000747671, 0.9059508489758781]"
