,0.0,0.5,1.0,1.5,2.0
0,"[0.6608406063471542, 0.6845609682627236, 0.6808156335398499, 0.6962130456679174, 0.6949646593479628, 0.6999583846323202, 0.7095297435100903, 0.7086974770091149, 0.6945485165354316, 0.7170204077469424, 0.7182688363333618, 0.7153558009275038, 0.7153558362735791, 0.7170204320799248, 0.7245110454928414, 0.7249271911330586, 0.7041198498896147, 0.733666274059429, 0.7299209651577934, 0.7299209366576949, 0.7311693815405151, 0.7141073774011543, 0.7324178119128414, 0.7307532550987977, 0.7349147015296564, 0.7282563708397035, 0.7465668103370476, 0.7407407518778549, 0.7403245939595273, 0.7436537979991547, 0.7523928443144323, 0.7432375859827287, 0.7586350784766094, 0.7573866156603066, 0.7648772820551297, 0.758635033233633, 0.7677902618746335, 0.7773616453830371, 0.777361642927415, 0.7694548713729324, 0.7561381953337071, 0.7677902940953716, 0.7815231080358841, 0.7732001474585277, 0.7877652892161546, 0.7802746791518136, 0.7865168647224389, 0.8002497023262186, 0.7973366714595409, 0.8002497023262186, 0.7881814456462265, 0.7965043899271819, 0.8035788766751426, 0.8135663867740893, 0.8010820103495309, 0.8189762969142043, 0.8048273065265794, 0.7981689936212832, 0.7935913612928879, 0.8081565172633577, 0.8081565188260263, 0.8131502483519126, 0.79400748892521, 0.815647148832995, 0.812734129425887, 0.8110695144954543, 0.8239700562796194, 0.823970054642538, 0.8069080397877354, 0.8331252931804395, 0.8214731730623043, 0.8318768328197589, 0.8252185008647885, 0.8356221339824643, 0.8185601389958767, 0.8310445294844524, 0.8260507855224848, 0.8343737419327248, 0.8335414003492444, 0.8364544492238172, 0.8447773797384065, 0.8489388394891546, 0.8468581037723765, 0.8518518698349428, 0.8401997707756271, 0.8381190534388081, 0.8372867556100481, 0.8456096791298351, 0.8501873309543815, 0.8535164602835675, 0.8481065313914296, 0.8493549839387672, 0.8526841719796446, 0.8476904042055842, 0.8535164491960618, 0.8422804968931553, 0.8518518751182509, 0.8518518751926636, 0.8489388330152419, 0.8618393879704708]",,,,
1,,"[0.6109030080794098, 0.6641697167010789, 0.6708280445633459, 0.6704119139545122, 0.6808155641127168, 0.679151004843051, 0.6803994172818949, 0.682064011897636, 0.6891385045242071, 0.6795671560642276, 0.6870577983493067, 0.6799833490309792, 0.7070328418384033, 0.6937161194400097, 0.7024552134538857, 0.6957968824662817, 0.7016229303588581, 0.7099458906385634, 0.7032874865775995, 0.6949645887302252, 0.7007906608813711, 0.7053682471482495, 0.7070328252443511, 0.7128588819920496, 0.7032875422383664, 0.7166042019811909, 0.7095296972997477, 0.7149395996265198, 0.7161880157115903, 0.7103620347905248, 0.7278401640321729, 0.7224302497993546, 0.7311693462688527, 0.7353307804960139, 0.737827643175399, 0.7365792224767354, 0.7407407091649135, 0.7336662255422899, 0.7419890973451879, 0.74698292331005, 0.7582188430945673, 0.7411568348625031, 0.7515605256500911, 0.7548897001478407, 0.7657094634278734, 0.7648771899320957, 0.7661256441165147, 0.7707032345505094, 0.771951657704795, 0.7748646997333912, 0.7811068809880746, 0.7923428238405568, 0.7790262224373597, 0.7844361011008645, 0.781523087870018, 0.7915105733383312, 0.7852683884374211, 0.795255928227071, 0.7969205257449108, 0.79775281821595, 0.7940074197213153, 0.806075670150633, 0.7965043449818567, 0.7919266995568103, 0.8094048790270916, 0.816479325517733, 0.8098209896932976, 0.801914248275995, 0.8060757134588767, 0.804827307717184, 0.8073241949527897, 0.8135663259044271, 0.8077402972847633, 0.8185601242621442, 0.8181439568189794, 0.8177277840180939, 0.8189762440067105, 0.8206408467334457, 0.8293798891048455, 0.8160632238554746, 0.8164793762672558, 0.8260507541202874, 0.8260507569479734, 0.8347898180713963, 0.8227215895194389, 0.833957556481665, 0.8410320125715562, 0.8339575349763687, 0.8331252221906379, 0.8314606152967865, 0.8281314684061819, 0.8410319907686088, 0.8256345746966635, 0.8464419240511014, 0.8293799173072929, 0.8447773446899823, 0.833125280604678, 0.8327090833963973, 0.8485226290353972, 0.8526841216021858]",,,
2,,,"[0.6229712624526054, 0.6670827194397221, 0.6666665697812141, 0.6666665697812141, 0.6687473057956433, 0.6758218118909295, 0.6749895220987508, 0.6833124553666132, 0.6812317168965619, 0.6816478757822558, 0.6845608991332417, 0.6953807017776403, 0.6920515437995302, 0.6883062238848016, 0.6987098636996285, 0.7049520852116312, 0.7107781355598297, 0.7082812579978867, 0.713275010219674, 0.712858838981457, 0.7282562799072742, 0.7274240128854093, 0.7320016023520376, 0.7249271042189199, 0.7386599071463396, 0.7249270990100246, 0.7245109710800514, 0.7369953613453888, 0.7299208825595965, 0.7394922132349193, 0.7465667177675369, 0.7540573556622614, 0.7548896482821261, 0.7623803028453155, 0.757802671633112, 0.7586349721407325, 0.7607157109084349, 0.7694547858726368, 0.7715354972564326, 0.7669578932048974, 0.7698709463209993, 0.7736162618453731, 0.776529261830743, 0.7836037421047911, 0.7773615651660495, 0.7836037663633606, 0.783603797765558, 0.7836037759626105, 0.791926686534572, 0.7965043202023977, 0.8023303664578927, 0.7923428659581959, 0.7952558698874437, 0.7990012048335557, 0.7948397118947033, 0.7919267080398683, 0.7910943899708294, 0.80357880992687, 0.8014981108211846, 0.800665816713064, 0.7981688984473249, 0.8085725422060296, 0.8094048495596268, 0.8019142239430126, 0.8123178729106126, 0.8094048510478826, 0.8160631976621725, 0.8193923762526256, 0.8160631979598237, 0.8206407650282023, 0.8206408399618818, 0.8135663123612993, 0.8160632303293873, 0.8293798780173398, 0.8335413337497973, 0.8268830086408037, 0.8173116725333472, 0.8231376847821973, 0.816895494597979, 0.8268830099058211, 0.8302121693721871, 0.8252184235498997, 0.8314606127667516, 0.8318767609370038, 0.8264668602473132, 0.825634572017803, 0.8347897866691989, 0.8372866739792175, 0.8360382578941469, 0.8356220864326915, 0.8268830114684896, 0.8277153092228369, 0.8339575064762701, 0.8414481244283669, 0.8431127040127243, 0.8393673979387748, 0.838535087608666, 0.8435288643866741, 0.8381189636969835, 0.8447773121715931]",,
3,,,,"[0.6163129373436117, 0.6670827289645591, 0.6666665697812141, 0.6679150092319007, 0.6683311588904086, 0.6741572160101711, 0.6774863982468509, 0.674573365668679, 0.6828962894117043, 0.6828962909743729, 0.6932999777436702, 0.6966291233692574, 0.6916353830535165, 0.7016229002216782, 0.7016229026773003, 0.6937161181749922, 0.7107781220911148, 0.7095296863610676, 0.7161880172742588, 0.7174364742119512, 0.7207656432031543, 0.7186848921573415, 0.7207656416404857, 0.7295047273201294, 0.726591684993882, 0.7307531492838103, 0.7282562811722916, 0.734914644306221, 0.7436536975418881, 0.7353307761056593, 0.7432375463207116, 0.740324535247836, 0.7453182754891642, 0.7432375542828802, 0.752808926034063, 0.7528089232807897, 0.7611318501491523, 0.7548896414361495, 0.7657094294212284, 0.7665417791901159, 0.7632125804337967, 0.7690386362141289, 0.7711193709635407, 0.7806907446494561, 0.7781938685013561, 0.774864687752932, 0.7811068865690338, 0.7732001081685747, 0.7940074331900302, 0.7794422999154613, 0.789845968900102, 0.7935913053344698, 0.7910944089460908, 0.7873491013094727, 0.7956720060772366, 0.8156470197268044, 0.7940074522397045, 0.7915105447638199, 0.8048272303278824, 0.8098209964648615, 0.8098209992181347, 0.8123178482799792, 0.796504336722037, 0.8073241135451975, 0.8089887134442466, 0.8023303354277593, 0.8189761912480424, 0.8198084957739535, 0.8189762112650829, 0.8127340237597253, 0.8168954902820373, 0.8173116236441442, 0.8181439107574625, 0.8252184603842307, 0.8198085025455175, 0.8218892333510515, 0.8193923814615209, 0.827299129427149, 0.8231376807639066, 0.8235538073544496, 0.8310444452491741, 0.8235538141260135, 0.8364543826243702, 0.8339574861615785, 0.8318767840049687, 0.8406158521231938, 0.8252184373162659, 0.8168954659490549, 0.841448117656803, 0.8339575009697237, 0.834373653307092, 0.8360381869043453, 0.83062833249941, 0.8356220753451858, 0.8435288671399472, 0.8339574671119042, 0.838118944721722, 0.8385351120904739, 0.8414481367064772, 0.839783539337463]",
4,,,,,"[0.6188097876704737, 0.6712441846970166, 0.6695796173907695, 0.6754056797194272, 0.6712441926591852, 0.6745733994520856, 0.6816478773449244, 0.678734822963805, 0.6824801603655393, 0.6849770528100403, 0.6878900607575786, 0.6833124553666132, 0.6916353819373247, 0.697461422760686, 0.6891385029615386, 0.7045359423246872, 0.7016229017843468, 0.7045359697085939, 0.6953807057215182, 0.7078651138459252, 0.7132750280043307, 0.7141072892219982, 0.7211818049165343, 0.7182687762822403, 0.7236786718374484, 0.7257594090424823, 0.7307531437772639, 0.7324177448669177, 0.7282562867532508, 0.737827640347713, 0.7403245205141037, 0.740324549088615, 0.7507282077298778, 0.7519766363162971, 0.7444859789998344, 0.7565542444605357, 0.7665417529968138, 0.7528089503670453, 0.7673740279808473, 0.769454771957445, 0.7636287312829093, 0.7715355405646763, 0.7719517025757074, 0.7686224826117432, 0.772367807363303, 0.7723677966478613, 0.786932955818081, 0.7873490973655949, 0.7823553490876853, 0.7848522074511286, 0.7910944169826721, 0.7898459627238403, 0.7915105395549246, 0.7973366006929776, 0.7944235813602823, 0.7998334835382288, 0.8027464930484357, 0.8069079869546545, 0.8060756738712725, 0.7998335041505716, 0.8123178645763802, 0.8106533012884237, 0.8052434279082271, 0.8094048425648245, 0.8073241191261568, 0.8193923854798115, 0.8193923446271899, 0.8135662973299157, 0.813982461722156, 0.82480229971263, 0.8185601011197665, 0.8210569542743145, 0.8302121500248617, 0.815647065937147, 0.8223053827119082, 0.8331251911605044, 0.826883016677385, 0.8293798574794098, 0.8281314862652516, 0.8451934316929212, 0.838118951418873, 0.8310444738980982, 0.8331252031409636, 0.838535103905067, 0.8289637430925643, 0.8343736398383771, 0.8377028141128883, 0.8447773133621977, 0.8447773404484533, 0.8481064901667439, 0.8364544004834398, 0.8310444968916504, 0.8389512578051039, 0.8406158411101009, 0.8385351161831773, 0.8531002382958278, 0.8414481434036284, 0.8435288957888714, 0.8514356532793367, 0.8460257610727041]"
